epoch,learning_rate,train_loss,train_accuracy,valid_loss,valid_accuracy,epoch_seconds,elapsed_seconds
1,0.001,4.704004814402262,0.04555555555555556,4.575822273254395,0.0665,59.956830125069246,59.956830125069246
2,0.001,4.1305975873311365,0.1102888888888889,4.001471375274658,0.1345,81.05230479198508,141.00913491705433
3,0.001,3.8145756245083278,0.15488888888888888,3.761107271575928,0.1708,82.22118383296765,223.23031875002198
4,0.001,3.6121622348361546,0.1870777777777778,3.645501123046875,0.1934,81.10746037494391,304.3377791249659
5,0.001,3.4638000767178005,0.2134888888888889,3.7336167949676513,0.1893,83.03985808300786,387.37763720797375
6,0.001,3.396899548763699,0.22624444444444444,3.4324990844726564,0.2268,83.30750354193151,470.68514074990526
7,0.001,3.2676374363369414,0.24663333333333334,3.3309513191223146,0.2443,84.43058904190548,555.1157297918107
8,0.001,3.16140007264879,0.2635,3.3291607135772705,0.2447,83.36356199998409,638.4792917917948
9,0.001,3.0828430672539606,0.2780222222222222,3.231725452041626,0.2642,88.68619383394253,727.1654856257373
10,0.001,3.0056976451449926,0.29296666666666665,3.2562486206054686,0.2637,86.4463294170564,813.6118150427938
11,0.001,2.9414802725897893,0.3046,3.2320354232788087,0.2622,83.44374687492382,897.0555619177176
12,0.001,2.884281795332167,0.3154888888888889,3.1778362586975097,0.2729,83.61619666602928,980.6717585837469
13,0.001,2.8107366444057886,0.3275,3.196281363296509,0.279,83.95990129094571,1064.6316598746926
14,0.001,2.779469068230523,0.3337333333333333,3.1117534896850585,0.2915,83.9123461660929,1148.5440060407855
15,0.001,2.6891494048224556,0.3532,3.059799422454834,0.2945,84.01479020901024,1232.5587962497957
16,0.001,2.6711065942552357,0.35463333333333336,3.1714346855163575,0.2867,83.98267845797818,1316.541474707774
17,0.001,2.59561194873386,0.3692666666666667,3.1439315505981447,0.2904,84.13466774998233,1400.6761424577562
18,0.001,2.5629029479132757,0.3741111111111111,3.0784030891418457,0.3015,84.41804512508679,1485.094187582843
19,0.001,2.484054220538669,0.39024444444444445,3.066109660720825,0.3064,85.14971062494442,1570.2438982077874
20,0.001,2.429184002600776,0.4010444444444444,3.0965007957458495,0.3018,83.63034662499558,1653.874244832783
21,0.001,2.392032963985867,0.4088888888888889,3.1686308860778807,0.2946,88.35555929108523,1742.2298041238682
22,0.001,2.4988307330237496,0.38687777777777776,3.0562658782958985,0.3078,84.57195054192562,1826.8017546657939
23,0.001,2.302413011423747,0.4254,3.138325969696045,0.3008,83.42294383398257,1910.2246984997764
24,0.001,2.2606564221276177,0.4337,3.0877540348052976,0.3173,84.42792704200838,1994.6526255417848
25,0.001,2.2182652245203656,0.4416,3.1390893310546875,0.3056,83.32297091698274,2077.9755964587675
26,0.001,2.1746205489264594,0.4507555555555556,3.1113043838500976,0.3135,85.54130591696594,2163.5169023757335
27,0.001,2.1217106724209254,0.4620111111111111,3.2146957954406736,0.3019,84.07720287505072,2247.594105250784
28,0.001,2.0930319964938695,0.4666444444444444,3.131961678314209,0.3145,84.5159913750831,2332.1100966258673
29,0.0005,1.8318141894446478,0.5260555555555556,3.1511509605407717,0.3269,83.86538370791823,2415.9754803337855
30,0.0005,1.7721454685635036,0.5384333333333333,3.233453464126587,0.3251,83.88062208308838,2499.856102416874
31,0.0005,1.714271807691786,0.5493444444444444,3.3035442420959473,0.3184,83.78334295901004,2583.639445375884
32,0.0005,1.668593669043647,0.5582666666666667,3.3074895530700683,0.3208,84.13582920795307,2667.775274583837
33,0.0005,1.6213340769449869,0.5675777777777777,3.3551945533752443,0.3222,84.96992016700096,2752.745194750838
34,0.00025,1.462698289574517,0.6072333333333333,3.4424306564331055,0.3266,88.93900091596879,2841.6841956668068
35,0.00025,1.418387846967909,0.6168777777777777,3.506188980102539,0.325,85.5908993750345,2927.2750950418413
36,0.00025,1.380715000237359,0.6254444444444445,3.5554397720336914,0.3237,84.65779791609384,3011.932892957935
37,0.00025,1.349915417098999,0.6332555555555556,3.601466352844238,0.3184,86.22686887497548,3098.1597618329106
