epoch,learning_rate,train_loss,train_accuracy,valid_loss,valid_accuracy,epoch_seconds,elapsed_seconds
1,0.001,1.8606167544894747,0.29444444444444445,1.716789086341858,0.3492,153.73055487510283,153.73055487510283
2,0.001,1.6422964511235556,0.3867333333333333,1.5590656278610229,0.4298,159.6204148340039,313.3509697091067
3,0.001,1.5156165276209512,0.4396,1.444581406211853,0.465,158.93851070804521,472.28948041715194
4,0.001,1.424154250992669,0.4776888888888889,1.4023867893218993,0.4884,159.10364283295348,631.3931232501054
5,0.001,1.3693860082414415,0.499,1.3295444129943847,0.52,157.75681287504267,789.1499361251481
6,0.001,1.3085107101228501,0.5214666666666666,1.2874729301452636,0.533,157.92352162499446,947.0734577501426
7,0.001,1.2673207187016804,0.5378666666666667,1.2715025032043457,0.5322,157.40803687495645,1104.481494625099
8,0.001,1.2206172256893582,0.5553555555555556,1.2341057470321655,0.5528,158.32612091698684,1262.8076155420858
9,0.001,1.1906847392188178,0.5673333333333334,1.165375919342041,0.5854,157.67571999994107,1420.483335542027
10,0.001,1.158634471151564,0.5798888888888889,1.1285081958770753,0.5936,158.66016458300874,1579.1435001250356
11,0.001,1.1265877105924818,0.5901555555555555,1.0814119707107543,0.6138,157.40603891701903,1736.5495390420547
12,0.001,1.0903115548239815,0.6073555555555555,1.1394660053253174,0.5912,158.77709104202222,1895.326630084077
13,0.001,1.0603263220045303,0.6195555555555555,1.0596664583206177,0.6268,163.22106279199943,2058.5476928760763
14,0.001,1.034729407119751,0.6258222222222222,1.038344690322876,0.6304,158.00092662498355,2216.54861950106
15,0.001,0.9954878985722859,0.6423777777777778,1.0118339918136596,0.6356,158.5240234170342,2375.072642918094
16,0.001,0.9715465845531888,0.6513555555555556,1.0532991764068604,0.6262,156.43300404108595,2531.50564695918
17,0.001,0.9468359284083049,0.6583333333333333,0.9710487804412842,0.6618,154.54398633295204,2686.049633292132
18,0.001,0.9155044287469652,0.6728888888888889,0.9760479774475098,0.6608,154.9452120839851,2840.994845376117
19,0.001,0.8837555873552958,0.6839333333333333,0.9568519527435303,0.6566,155.35984712501522,2996.3546925011324
20,0.001,0.8579913028187222,0.6930444444444445,0.9525704881668091,0.656,155.631860124995,3151.9865526261274
21,0.001,0.8256750381151835,0.7039333333333333,0.9165611505508423,0.6762,154.7972900000168,3306.783842626144
22,0.001,0.7935973364830017,0.7146444444444444,0.8796388227462768,0.692,153.86227045801934,3460.6461130841635
23,0.001,0.7646450409253438,0.7265777777777778,0.9287955841064454,0.6754,153.8962485829834,3614.542361667147
24,0.001,0.7415052917162578,0.7340444444444445,0.8779942443847656,0.6952,154.68202716694213,3769.224388834089
25,0.001,0.7120108115090265,0.7454444444444445,0.8970868795394897,0.694,153.52618066698778,3922.750569501077
26,0.001,0.6822942666477627,0.7558,0.8434674684524536,0.7126,154.094876499963,4076.84544600104
27,0.001,0.6506992531670465,0.7662222222222222,0.8548298460006714,0.7068,153.38437008298934,4230.229816084029
28,0.001,0.623654999478658,0.7775555555555556,0.8399537143707275,0.7166,154.31477687496226,4384.544592958991
29,0.001,0.5946936921437581,0.7859111111111111,0.8617789895057678,0.7116,153.99149737495463,4538.536090333946
30,0.001,0.5741993283483717,0.7951777777777778,0.8155318977355958,0.7234,153.75032295903657,4692.286413292983
31,0.001,0.5417133710437351,0.8069555555555555,0.8188278665542602,0.7296,153.27708050003275,4845.563493793015
32,0.001,0.5099805722766453,0.8162444444444444,0.8432607656478882,0.7276,153.5071199160302,4999.070613709046
33,0.001,0.48316514205932615,0.8246444444444444,0.8334717247009278,0.7322,152.60352966596838,5151.674143375014
34,0.001,0.4594825294918484,0.834,0.8569091627120972,0.716,153.81272599997465,5305.486869374989
35,0.001,0.44159679858949447,0.8397111111111111,0.8481961666107177,0.7292,153.06891479203478,5458.555784167023
36,0.001,0.41770842572318184,0.8506,0.8661977615356445,0.7272,155.38594670803286,5613.941730875056
37,0.001,0.3934078577094608,0.8581555555555556,0.9054442897796631,0.7314,153.3392514580628,5767.280982333119
38,0.0005,0.2561848168214162,0.9082444444444444,0.8813341653823853,0.7534,153.6515419590287,5920.932524292148
39,0.0005,0.21798539831373426,0.9226888888888889,1.000685075378418,0.7474,152.9607300000498,6073.8932542921975
40,0.0005,0.19799512015183768,0.9281777777777778,0.9723637512207032,0.7568,152.53579383390024,6226.429048126098
