epoch,learning_rate,train_loss,train_accuracy,valid_loss,valid_accuracy,epoch_seconds,elapsed_seconds
1,0.001,1.581794636238946,0.41273333333333334,2.3533863567352293,0.0958,29.2445798330009,29.2445798330009
2,0.001,1.2550625461366443,0.5460888888888888,1.212719680595398,0.5676,17.561236499925144,46.80581633292604
3,0.001,1.077257093281216,0.6180666666666667,1.128671000289917,0.6106,18.17492374998983,64.98074008291587
4,0.001,0.945118404006958,0.6664444444444444,0.9595862100601197,0.6618,18.210416999994777,83.19115708291065
5,0.001,0.8523900657018025,0.6994,0.8848619777679443,0.689,18.412435207981616,101.60359229089227
6,0.001,0.7803224714914958,0.7244666666666667,0.9050519929885864,0.689,23.273006542003714,124.87659883289598
7,0.001,0.7217920097245111,0.7474666666666666,0.8007505031585693,0.7256,28.47843279200606,153.35503162490204
8,0.001,0.6692118211110433,0.7664222222222222,0.8067205978393555,0.7248,32.65336116601247,186.0083927909145
9,0.001,0.6247503023253547,0.7802888888888889,0.7671313318252564,0.7468,32.55365541600622,218.56204820692074
10,0.001,0.5886105783674452,0.7959777777777778,0.7906984579086304,0.7324,33.172790915938094,251.73483912285883
11,0.001,0.5502947627491421,0.8079333333333333,0.7472755846977234,0.7486,31.871125499950722,283.60596462280955
12,0.001,0.5237274502012464,0.8158,0.7797775161743165,0.744,31.028898208984174,314.6348628317937
13,0.001,0.49512327633963693,0.8255555555555556,0.7737236499786377,0.7544,32.77908891707193,347.41395174886566
14,0.001,0.4679036320209503,0.8365777777777778,0.7432176336288452,0.7588,31.517510917037725,378.9314626659034
15,0.001,0.4429316340764364,0.8435111111111111,0.8137383407592773,0.7474,32.16448116698302,411.0959438328864
16,0.001,0.4201767749521467,0.8539333333333333,0.7936150062561035,0.746,31.532234874903224,442.62817870778963
17,0.001,0.3983006256156498,0.8583111111111111,0.7741187101364135,0.7554,32.91314900002908,475.5413277078187
18,0.001,0.3745272355185615,0.8684666666666667,0.7857771887779236,0.7622,32.21715362498071,507.7584813327994
19,0.001,0.3575837640656365,0.8732888888888889,0.7784174701690674,0.768,33.14458454202395,540.9030658748234
20,0.001,0.3413278193208906,0.8802,0.834824641418457,0.7594,32.57469866692554,573.4777645417489
21,0.001,0.32836554114023847,0.8827555555555555,0.8053187450408935,0.768,33.456564874970354,606.9343294167193
22,0.001,0.3120209481875102,0.8893111111111112,0.8231395833015442,0.7626,33.715216791955754,640.649546208675
23,0.001,0.293039266316096,0.8962666666666667,0.8634636959075928,0.7602,34.33782208291814,674.9873682915932
24,0.0005,0.2042269345495436,0.9301333333333334,0.8444411548614502,0.7832,34.130285207997076,709.1176534995902
25,0.0005,0.1672017013496823,0.9435111111111111,0.9397567785263061,0.7706,33.83953483309597,742.9571883326862
26,0.0005,0.14910372520552742,0.9491777777777778,0.9786450699806213,0.7734,34.46942004200537,777.4266083746916
27,0.0005,0.14148344066010582,0.9511333333333334,1.0136572410583495,0.7688,34.60191750002559,812.0285258747172
28,0.0005,0.12949193745189244,0.9543555555555555,1.0749673419952392,0.7642,34.24508424999658,846.2736101247137
29,0.00025,0.08982597065501743,0.9697111111111111,1.1309378791809082,0.7714,35.09039179200772,881.3640019167215
30,0.00025,0.06737814832793342,0.9776444444444444,1.2013091575622559,0.7744,35.33039749995805,916.6943994166795
31,0.00025,0.054618831745121214,0.9813555555555555,1.3364888977050782,0.7738,35.261731583043,951.9561309997225
32,0.00025,0.05441894810729556,0.9819111111111111,1.3916114849090577,0.7718,38.22959699993953,990.185727999662
